Designator,Mid X,Mid Y,Layer,Rotation
C1,119.9,-81.8,top,180
C2,120.0625,-78.6,top,180
C3,120,-75.4,top,180
C4,120,-72.2,top,180
C5,119.8,-65.8,top,0
C6,120,-69,top,0
C7,95,-70.135,top,-90
C9,95.75,-68.25,top,0
C10,95,-72.5675,top,-90
C11,100.28,-67.8,top,180
C14,88.7,-65.8,top,135
C15,112.5,-79,top,-90
C16,113.75,-79.075,top,-90
C17,115,-79.075,top,-90
C_AVDD1,107.425,-70.85,top,-45
C_CP1,115.5,-72,top,0
C_CSAREF1,111.5,-76.75,top,90
C_FLY1,115.5,-73,top,180
C_VIN_AVDD1,115.5,-71,top,0
C_VIN_AVDD2,116.525,-68.75,top,-90
C_VM1,107.825,-69.45,top,135
C_VM2,114.85,-68.725,top,90
D1,86.75,-69.25,top,-90
D2,86.75,-71.5,top,90
D3,124,-72.2,top,-90
D4,100.2,-82.2,top,180
J2,105,-89.175,top,0
J3,95.493193,-88.79219,top,-130
J5,107.6,-88.885,top,-90
J6,88.608731,-82.206819,top,-160
J7,91.090109,-81.306275,top,-160
R1,93.75,-74.25,top,0
R2,102,-83.605,top,180
R3,107.6,-83.605,top,0
R4,91.177504,-66.022496,top,-135
R5,123.1,-72.2,top,90
R6,100.2,-81.2,top,0
R7,112.5,-76.75,top,90
R8,113.75,-76.75,top,90
R9,115,-76.75,top,90
R11,116.2,-79.1,top,-90
R12,116.2,-76.8025,top,-90
R_GAIN1,108.5,-76.75,top,90
R_MODE1,110.5,-76.75,top,90
R_SLEW1,109.5,-76.75,top,90
R_nFault1,115.5,-74.1,top,180
R_nSLEEP1,115.5,-75.1,top,0
R_term1,94.25,-78.75,top,180
SW1,92.5,-61.3,top,45
U2,90.75,-70.25,top,180
U3,105,-82.8,top,90
U5,100.75,-73.75,top,-90
U6,111.75,-72.5,top,180
Y1,103.14,-67.21,top,-90
